Ticker,Navn,Markedsverdi (MNOK)
NOM,Nordic Mining,"479,91"
NANO,Nordic Nanovector,"1771,82"
NOD,Nordic Semiconductor,"16625,05"
NHY,Norsk Hydro,"57314,02"
NSKOG,Norske Skog,2310
NORTH,North Energy,"201,67"
NODL,Northern Drilling,"107,77"
NOL,Northern Ocean Ltd.,"475,97"
NRS,Norway Royal Salmon,"10154,59"
NAS,Norwegian Air Shuttle,"4539,73"
NOR,Norwegian Energy Company,"3676,9"
NOFI,Norwegian Finans Holding,"13983,44"
NPRO,Norwegian Property,"5652,01"
NRC,NRC Group,"2475,9"
NTS,NTS,"8349,06"
OBSERV,Observe Medical,"290,53"
OCY,Ocean Yield,"4028,51"
OTS,Oceanteam,"105,71"
ODL,Odfjell Drilling,"2827,19"
ODF,Odfjell ser. A,"1248,42"
ODFB,Odfjell ser. B,"386,38"
OKEA,OKEA,"902,02"
OET,Okeanis Eco Tankers,"2172,89"
OLT,Olav Thon Eiendomsselskap,"16631,52"
ORK,Orkla,"88987,2"
OTELLO,Otello Corporation,"2035,85"
PEN,Panoro Energy,"727,52"
PARB,Pareto Bank,"2717,23"
PCIB,PCI Biotech Holding,"2068,26"
PSE,Petrolia,"517,42"
PNOR,PetroNor E&P Limited,"908,51"
PEXIP,Pexip Holding,"8988,67"
PGS,PGS,"1478,74"
PHLY,Philly Shipyard,"893,56"
PHO,Photocure,"1999,82"
PPG PREF,Pioneer Property Group,"496,59"
PLCS,Polarcus,"194,21"
POL,Polaris Media,"1667,71"
PLT,poLight,"699,28"
PRS,Prosafe,"114,61"
PROTCT,Protector Forsikring,"3439,22"
QFR,Q-Free,"428,27"
QFUEL-ME,Quantafuel,"3926,99"
QEC,Questerre Energy Corporation,"337,19"
RAKP,RAK Petroleum,"1205,58"
REACH,Reach Subsea,"215,32"
REC,REC Silicon,"892,62"
RIVER-ME,River iGaming,"128,36"
ROM,RomReal,"83,47"
ROMSB-ME,Romsdal Sparebank,"226,92"
SDSD,S.D. Standard Drilling,"432,02"
SAGA,Saga Tankers,"232,88"
SALM,SalMar,"52452,67"
SALMON,Salmones Camanchaca,"3709,2"
SADG,Sandnes Sparebank,"1380,74"
SAS NOK,SAS AB,"2907,63"
SATS,SATS,"3184,49"
SBANK,Sbanken,"7288,49"
SCANA,Scana,"108,58"
SSO,Scatec Solar,"22740,82"
SCHA,Schibsted ser. A,"36717,68"
SCHB,Schibsted ser. B,"41731,5"
SBX,SeaBird Exploration,"117,76"
SDRL,Seadrill,"372,94"
SSG,Self Storage Group,"2066,05"
SBO,Selvaag Bolig,"4887,92"
SHLF,Shelf Drilling,"428,97"
SIOFF,Siem Offshore,"1000,17"
SIKRI-ME,Sikri Holding,"1798,47"
SKUE,Skue Sparebank,"358,67"
SOFTOX-ME,SoftOx Solutions,"434,06"
SOGN,Sogn Sparebank,"63,25"
SOLON,Solon Eiendom,"2215,56"
SOFF,Solstad Offshore,"203,99"
SBVG,SpareBank 1 BV,"2340,83"
NONG,SpareBank 1 Nord-Norge,"6877,26"
SNOR,SpareBank 1 Nordvest,"243,13"
RING,SpareBank 1 Ringerike Hadeland,"3536,99"
MING,SpareBank 1 SMN,11577
SRBANK,SpareBank 1 SR-Bank,"20362,15"
SOAG,SpareBank 1 Østfold Akershus,"2898,82"
SPOL,SpareBank 1 Østlandet,"10239,35"
MORG,Sparebanken Møre,"2959,45"
SOR,Sparebanken Sør,"1569,77"
SBTE,Sparebanken Telemark,"1405,92"
SVEG,Sparebanken Vest,"7381,9"
SPOG,Sparebanken Øst,"978,51"
SNI,Stolt-Nielsen,"4549,52"
STB,Storebrand,"24650,16"
STORM,Storm Real Estate,"30,04"
STRONG,StrongPoint,"788,19"
SUBC,Subsea 7,"21239,03"
SUNSB-ME,Sunndal Sparebank,"154,15"
SUSB-ME,Surnadal Sparebank,"217,01"
TRVX,Targovax,"486,96"
TEAM,Team Tankers International,"689,01"
TECH,Techstep,"504,66"
TEL,Telenor,"205720,33"
TGS,TGS-NOPEC Geophysical Company,"15946,16"
THIN,Thin Film Electronics,"120,97"
TIETOO,TietoEVRY,31331
TOM,Tomra Systems,"58605,1"
TOTG,Totens Sparebank,"857,43"
TRE,Treasure,"2502,83"
TYSB-ME,Tysnes Sparebank,"169,91"
ULTIMO,Ultimovacs,"1400,44"
VEI,Veidekke,"17409,36"
VISTIN,Vistin Pharma,"611,96"
VVL,Voss Veksel- og Landmandsbank,"354,8"
VOW,Vow,"2171,46"
WALWIL,Wallenius Wilhelmsen,"5532,19"
WSTEP,Webstep,"528,13"
WWI,Wilh. Wilhelmsen Holding ser. A,3910
WWIB,Wilh. Wilhelmsen Holding ser. B,"1232,57"
WILS,Wilson,"859,66"
XXL,XXL,5180
YAR,Yara International,"103499,04"
ZAL,Zalaris,"671,03"
ZENA-ME,Zenith Energy,"68,77"
ZWIPE-ME,Zwipe,"432,91"
